Age,Gender,Occupation,MonthlyDisposableIncome,HealthConsciousness,ExerciseFrequency,ConsumptionFrequency,TryNewBrand,SubscribePlan,SpendPerServing,PackagingFormat,PurchaseChannel,TopHealthBenefit,RecommendLikelihood,CurrentBrands,ExtraFeatures,Flavour_MixedBerry,Flavour_Mango,Flavour_GreenTea,Flavour_Chocolate,Flavour_Coffee,Flavour_Herbal,Flavour_Other,Context_PostWorkout,Context_Breakfast,Context_Afternoon,Context_Evening,Context_SpecialOccasion,Barrier_HighPrice,Barrier_PoorTaste,Barrier_LackTrust,Barrier_HardToFind,Barrier_UnsustainablePack,Rank_Taste,Rank_Price,Rank_NutritionalValue,Rank_BrandReputation,Rank_Packaging
23,Male,Working professional,12758,4,1-2,Rarely,No,Yes,23.39,Bottle,Online retailer,Energy boost,2,BrandC,High protein,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,5,4,3
54,Female,Working professional,8564,3,1-2,Daily,No,No,16.7,Can,Supermarket,Weight management,1,BrandD,No artificial flavors,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,4,5,1,3
33,Female,Retired,9093,4,5+,Rarely,No,No,18.06,Tetra Pak,Supermarket,Immune support,1,BrandA,Gluten-free,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,4,3,2,5,1
28,Female,Working professional,1437,1,5+,Never,Yes,No,4.6,Bottle,Convenience store,Energy boost,5,BrandC,Gluten-free,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2,3,4,5
20,Female,Working professional,78613,4,3-4,Rarely,Yes,Yes,158.72,Tetra Pak,Online retailer,Immune support,4,BrandA,Low sugar,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,2,3,1,5,4
20,Female,Self-employed,6218,4,5+,Weekly,Yes,Yes,12.68,Tetra Pak,Pharmacy,Muscle recovery,5,BrandA,No artificial flavors,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,5,4,3,2
18,Female,Working professional,3525,1,3-4,Never,Yes,Yes,2.75,Can,Online retailer,Muscle recovery,1,BrandB,Gluten-free,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,5,1,3
42,Female,Self-employed,5592,2,3-4,Daily,Yes,No,12.07,Can,Online retailer,Muscle recovery,5,BrandB,No artificial flavors,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,3,1,4
29,Male,Student,994,4,None,Weekly,No,No,1.45,Bottle,Supermarket,Energy boost,4,BrandC,Low sugar,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,4,1,3,5
32,Female,Working professional,7100,4,1-2,Rarely,No,No,16.98,Can,Convenience store,Energy boost,4,None,No artificial flavors,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,5,2,3,1
